n,n0,strassen,mat_mul
800,5,3.00,0.56
800,6,3.44,0.50
800,7,1.25,0.31
800,8,1.31,0.50
800,9,1.25,0.38
800,10,1.19,0.38
800,11,1.31,0.38
800,12,1.25,0.31
800,13,0.62,0.38
800,14,0.56,0.38
800,15,0.56,0.38
800,16,0.56,0.38
800,17,0.62,0.31
800,18,0.62,0.31
800,19,0.56,0.38
800,20,0.56,0.38
800,21,0.56,0.38
800,22,0.56,0.44
800,23,0.56,0.38
800,24,0.56,0.38
800,25,0.31,0.31
800,26,0.38,0.31
800,27,0.38,0.38
800,28,0.31,0.38
800,29,0.31,0.38
800,30,0.31,0.38
800,31,0.31,0.38
800,32,0.31,0.38
800,33,0.31,0.38
800,34,0.31,0.44
800,35,0.31,0.38
800,36,0.31,0.38
800,37,0.31,0.38
800,38,0.31,0.38
800,39,0.31,0.38
800,40,0.31,0.38
800,41,0.31,0.38
800,42,0.31,0.38
800,43,0.31,0.44
800,44,0.31,0.38
800,45,0.31,0.44
800,46,0.38,0.38
800,47,0.31,0.38
800,48,0.31,0.38
800,49,0.31,0.38
